curated_id,cards,card_names_cn,theme,love,career,self_state,decision,advice,avoid,use_when,human_like_example
curated_the_moon__seven_of_swords,the_moon | seven_of_swords,月亮 | 宝剑七,信息不清与猜测,月亮 + 宝剑七 在感情里可以读成“迷雾、焦虑与信息不清 落到 思考与冲突 的具体表现”。重点看互动是否稳定、边界是否清楚、情绪是否被放大；不能直接替对方读心。,月亮 + 宝剑七 在事业里可以读成“迷雾、焦虑与信息不清 落到 思考与冲突 的具体表现”。重点看资源、节奏、协作和现实条件，而不是简单判断成败。,月亮 + 宝剑七 在自我状态里像是在提示“迷雾、焦虑与信息不清 落到 思考与冲突 的具体表现”。它更适合做情绪和能量复盘，不适合做心理诊断。,月亮 + 宝剑七 在决策里适合拆解“迷雾、焦虑与信息不清 落到 思考与冲突 的具体表现”背后的收益、代价和验证动作，不替用户直接选择。,先核实信息，不要只凭感觉下判断。,不要直接说有人背叛你。,高频感情问题 | 事业卡点 | 自我状态复盘 | 决策取舍,月亮和宝剑七放在一起，重点不是把事情说死，而是看见“信息不清与猜测”。先核实信息，不要只凭感觉下判断。
curated_the_devil__knight_of_swords,the_devil | knight_of_swords,恶魔 | 宝剑骑士,执念推动下的冲动,恶魔 + 宝剑骑士 在感情里可以读成“执念、束缚与欲望 落到 思考与冲突 的具体表现”。重点看互动是否稳定、边界是否清楚、情绪是否被放大；不能直接替对方读心。,恶魔 + 宝剑骑士 在事业里可以读成“执念、束缚与欲望 落到 思考与冲突 的具体表现”。重点看资源、节奏、协作和现实条件，而不是简单判断成败。,恶魔 + 宝剑骑士 在自我状态里像是在提示“执念、束缚与欲望 落到 思考与冲突 的具体表现”。它更适合做情绪和能量复盘，不适合做心理诊断。,恶魔 + 宝剑骑士 在决策里适合拆解“执念、束缚与欲望 落到 思考与冲突 的具体表现”背后的收益、代价和验证动作，不替用户直接选择。,先降速，确认自己是在行动还是被欲望/焦虑推着跑。,不要说用户被诅咒或必然沉沦。,高频感情问题 | 事业卡点 | 自我状态复盘 | 决策取舍,恶魔和宝剑骑士放在一起，重点不是把事情说死，而是看见“执念推动下的冲动”。先降速，确认自己是在行动还是被欲望/焦虑推着跑。
curated_the_sun__four_of_swords,the_sun | four_of_swords,太阳 | 宝剑四,有光但能量不足,太阳 + 宝剑四 在感情里可以读成“明朗、生命力与坦诚 落到 思考与冲突 的具体表现”。重点看互动是否稳定、边界是否清楚、情绪是否被放大；不能直接替对方读心。,太阳 + 宝剑四 在事业里可以读成“明朗、生命力与坦诚 落到 思考与冲突 的具体表现”。重点看资源、节奏、协作和现实条件，而不是简单判断成败。,太阳 + 宝剑四 在自我状态里像是在提示“明朗、生命力与坦诚 落到 思考与冲突 的具体表现”。它更适合做情绪和能量复盘，不适合做心理诊断。,太阳 + 宝剑四 在决策里适合拆解“明朗、生命力与坦诚 落到 思考与冲突 的具体表现”背后的收益、代价和验证动作，不替用户直接选择。,先恢复精力，等状态回来后再推进。,不要把太阳读成一定成功。,高频感情问题 | 事业卡点 | 自我状态复盘 | 决策取舍,太阳和宝剑四放在一起，重点不是把事情说死，而是看见“有光但能量不足”。先恢复精力，等状态回来后再推进。
curated_six_of_cups__judgement,six_of_cups | judgement,圣杯六 | 审判,旧事被重新唤起,审判 + 圣杯六 在感情里可以读成“觉醒、复盘与重新评估 落到 情绪与关系 的具体表现”。重点看互动是否稳定、边界是否清楚、情绪是否被放大；不能直接替对方读心。,审判 + 圣杯六 在事业里可以读成“觉醒、复盘与重新评估 落到 情绪与关系 的具体表现”。重点看资源、节奏、协作和现实条件，而不是简单判断成败。,审判 + 圣杯六 在自我状态里像是在提示“觉醒、复盘与重新评估 落到 情绪与关系 的具体表现”。它更适合做情绪和能量复盘，不适合做心理诊断。,审判 + 圣杯六 在决策里适合拆解“觉醒、复盘与重新评估 落到 情绪与关系 的具体表现”背后的收益、代价和验证动作，不替用户直接选择。,旧关系/旧记忆出现，是为了重新评估，不等于必然复合。,不要承诺对方一定回来。,高频感情问题 | 事业卡点 | 自我状态复盘 | 决策取舍,圣杯六和审判放在一起，重点不是把事情说死，而是看见“旧事被重新唤起”。旧关系/旧记忆出现，是为了重新评估，不等于必然复合。
curated_eight_of_pentacles__three_of_wands,eight_of_pentacles | three_of_wands,星币八 | 权杖三,积累后向外扩展,权杖三 + 星币八 在感情里可以读成“行动与热情中的扩展/协作 与 现实与资源中的推进/重复 的交叉影响”。重点看互动是否稳定、边界是否清楚、情绪是否被放大；不能直接替对方读心。,权杖三 + 星币八 在事业里可以读成“行动与热情中的扩展/协作 与 现实与资源中的推进/重复 的交叉影响”。重点看资源、节奏、协作和现实条件，而不是简单判断成败。,权杖三 + 星币八 在自我状态里像是在提示“行动与热情中的扩展/协作 与 现实与资源中的推进/重复 的交叉影响”。它更适合做情绪和能量复盘，不适合做心理诊断。,权杖三 + 星币八 在决策里适合拆解“行动与热情中的扩展/协作 与 现实与资源中的推进/重复 的交叉影响”背后的收益、代价和验证动作，不替用户直接选择。,把已经练出来的能力拿出去展示，等待外部反馈。,不要只叫用户闷头努力。,高频感情问题 | 事业卡点 | 自我状态复盘 | 决策取舍,星币八和权杖三放在一起，重点不是把事情说死，而是看见“积累后向外扩展”。把已经练出来的能力拿出去展示，等待外部反馈。
curated_the_lovers__two_of_swords,the_lovers | two_of_swords,恋人 | 宝剑二,关系选择中的回避,恋人 + 宝剑二 在感情里可以读成“关系选择与价值一致 落到 思考与冲突 的具体表现”。重点看互动是否稳定、边界是否清楚、情绪是否被放大；不能直接替对方读心。,恋人 + 宝剑二 在事业里可以读成“关系选择与价值一致 落到 思考与冲突 的具体表现”。重点看资源、节奏、协作和现实条件，而不是简单判断成败。,恋人 + 宝剑二 在自我状态里像是在提示“关系选择与价值一致 落到 思考与冲突 的具体表现”。它更适合做情绪和能量复盘，不适合做心理诊断。,恋人 + 宝剑二 在决策里适合拆解“关系选择与价值一致 落到 思考与冲突 的具体表现”背后的收益、代价和验证动作，不替用户直接选择。,关系里需要选择，但用户可能还在回避真正的答案。,不要直接替用户选。,高频感情问题 | 事业卡点 | 自我状态复盘 | 决策取舍,恋人和宝剑二放在一起，重点不是把事情说死，而是看见“关系选择中的回避”。关系里需要选择，但用户可能还在回避真正的答案。
curated_death__the_star,death | the_star,死神 | 星星,结束后的修复,死神 + 星星 在感情里可以读成“旧模式结束与转化 与 疗愈、希望与长期恢复 的大主题交汇”。重点看互动是否稳定、边界是否清楚、情绪是否被放大；不能直接替对方读心。,死神 + 星星 在事业里可以读成“旧模式结束与转化 与 疗愈、希望与长期恢复 的大主题交汇”。重点看资源、节奏、协作和现实条件，而不是简单判断成败。,死神 + 星星 在自我状态里像是在提示“旧模式结束与转化 与 疗愈、希望与长期恢复 的大主题交汇”。它更适合做情绪和能量复盘，不适合做心理诊断。,死神 + 星星 在决策里适合拆解“旧模式结束与转化 与 疗愈、希望与长期恢复 的大主题交汇”背后的收益、代价和验证动作，不替用户直接选择。,旧模式结束后，会进入慢慢疗愈和重建信任的阶段。,不要把死神读成灾难。,高频感情问题 | 事业卡点 | 自我状态复盘 | 决策取舍,死神和星星放在一起，重点不是把事情说死，而是看见“结束后的修复”。旧模式结束后，会进入慢慢疗愈和重建信任的阶段。
curated_the_tower__the_emperor,the_tower | the_emperor,高塔 | 皇帝,旧结构被打破,皇帝 + 高塔 在感情里可以读成“结构、规则与掌控 与 突变、崩塌与强制清醒 的大主题交汇”。重点看互动是否稳定、边界是否清楚、情绪是否被放大；不能直接替对方读心。,皇帝 + 高塔 在事业里可以读成“结构、规则与掌控 与 突变、崩塌与强制清醒 的大主题交汇”。重点看资源、节奏、协作和现实条件，而不是简单判断成败。,皇帝 + 高塔 在自我状态里像是在提示“结构、规则与掌控 与 突变、崩塌与强制清醒 的大主题交汇”。它更适合做情绪和能量复盘，不适合做心理诊断。,皇帝 + 高塔 在决策里适合拆解“结构、规则与掌控 与 突变、崩塌与强制清醒 的大主题交汇”背后的收益、代价和验证动作，不替用户直接选择。,某个僵硬结构正在失效，需要重建规则。,不要恐吓用户一定崩盘。,高频感情问题 | 事业卡点 | 自我状态复盘 | 决策取舍,高塔和皇帝放在一起，重点不是把事情说死，而是看见“旧结构被打破”。某个僵硬结构正在失效，需要重建规则。
curated_temperance__two_of_cups,temperance | two_of_cups,节制 | 圣杯二,关系调和,节制 + 圣杯二 在感情里可以读成“调和、节奏与恢复 落到 情绪与关系 的具体表现”。重点看互动是否稳定、边界是否清楚、情绪是否被放大；不能直接替对方读心。,节制 + 圣杯二 在事业里可以读成“调和、节奏与恢复 落到 情绪与关系 的具体表现”。重点看资源、节奏、协作和现实条件，而不是简单判断成败。,节制 + 圣杯二 在自我状态里像是在提示“调和、节奏与恢复 落到 情绪与关系 的具体表现”。它更适合做情绪和能量复盘，不适合做心理诊断。,节制 + 圣杯二 在决策里适合拆解“调和、节奏与恢复 落到 情绪与关系 的具体表现”背后的收益、代价和验证动作，不替用户直接选择。,通过耐心沟通恢复平衡，适合慢慢靠近。,不要说马上复合。,高频感情问题 | 事业卡点 | 自我状态复盘 | 决策取舍,节制和圣杯二放在一起，重点不是把事情说死，而是看见“关系调和”。通过耐心沟通恢复平衡，适合慢慢靠近。
curated_nine_of_swords__the_moon,nine_of_swords | the_moon,宝剑九 | 月亮,焦虑与脑补叠加,月亮 + 宝剑九 在感情里可以读成“迷雾、焦虑与信息不清 落到 思考与冲突 的具体表现”。重点看互动是否稳定、边界是否清楚、情绪是否被放大；不能直接替对方读心。,月亮 + 宝剑九 在事业里可以读成“迷雾、焦虑与信息不清 落到 思考与冲突 的具体表现”。重点看资源、节奏、协作和现实条件，而不是简单判断成败。,月亮 + 宝剑九 在自我状态里像是在提示“迷雾、焦虑与信息不清 落到 思考与冲突 的具体表现”。它更适合做情绪和能量复盘，不适合做心理诊断。,月亮 + 宝剑九 在决策里适合拆解“迷雾、焦虑与信息不清 落到 思考与冲突 的具体表现”背后的收益、代价和验证动作，不替用户直接选择。,先区分事实和想象，降低夜间反刍。,不要强化恐惧。,高频感情问题 | 事业卡点 | 自我状态复盘 | 决策取舍,宝剑九和月亮放在一起，重点不是把事情说死，而是看见“焦虑与脑补叠加”。先区分事实和想象，降低夜间反刍。
curated_four_of_swords__eight_of_cups,four_of_swords | eight_of_cups,宝剑四 | 圣杯八,暂停后撤离,圣杯八 + 宝剑四 在感情里可以读成“情绪与关系中的推进/重复 与 思考与冲突中的稳定/停顿 的交叉影响”。重点看互动是否稳定、边界是否清楚、情绪是否被放大；不能直接替对方读心。,圣杯八 + 宝剑四 在事业里可以读成“情绪与关系中的推进/重复 与 思考与冲突中的稳定/停顿 的交叉影响”。重点看资源、节奏、协作和现实条件，而不是简单判断成败。,圣杯八 + 宝剑四 在自我状态里像是在提示“情绪与关系中的推进/重复 与 思考与冲突中的稳定/停顿 的交叉影响”。它更适合做情绪和能量复盘，不适合做心理诊断。,圣杯八 + 宝剑四 在决策里适合拆解“情绪与关系中的推进/重复 与 思考与冲突中的稳定/停顿 的交叉影响”背后的收益、代价和验证动作，不替用户直接选择。,先冷静恢复，再决定是否离开。,不要把撤离说成失败。,高频感情问题 | 事业卡点 | 自我状态复盘 | 决策取舍,宝剑四和圣杯八放在一起，重点不是把事情说死，而是看见“暂停后撤离”。先冷静恢复，再决定是否离开。
curated_ace_of_wands__the_magician,ace_of_wands | the_magician,权杖一 | 魔术师,灵感和执行,魔术师 + 权杖一 在感情里可以读成“资源整合与主动创造 落到 行动与热情 的具体表现”。重点看互动是否稳定、边界是否清楚、情绪是否被放大；不能直接替对方读心。,魔术师 + 权杖一 在事业里可以读成“资源整合与主动创造 落到 行动与热情 的具体表现”。重点看资源、节奏、协作和现实条件，而不是简单判断成败。,魔术师 + 权杖一 在自我状态里像是在提示“资源整合与主动创造 落到 行动与热情 的具体表现”。它更适合做情绪和能量复盘，不适合做心理诊断。,魔术师 + 权杖一 在决策里适合拆解“资源整合与主动创造 落到 行动与热情 的具体表现”背后的收益、代价和验证动作，不替用户直接选择。,适合把想法转成具体行动。,不要只讲鸡血。,高频感情问题 | 事业卡点 | 自我状态复盘 | 决策取舍,权杖一和魔术师放在一起，重点不是把事情说死，而是看见“灵感和执行”。适合把想法转成具体行动。
curated_five_of_pentacles__the_star,five_of_pentacles | the_star,星币五 | 星星,匮乏中的希望,星星 + 星币五 在感情里可以读成“疗愈、希望与长期恢复 落到 现实与资源 的具体表现”。重点看互动是否稳定、边界是否清楚、情绪是否被放大；不能直接替对方读心。,星星 + 星币五 在事业里可以读成“疗愈、希望与长期恢复 落到 现实与资源 的具体表现”。重点看资源、节奏、协作和现实条件，而不是简单判断成败。,星星 + 星币五 在自我状态里像是在提示“疗愈、希望与长期恢复 落到 现实与资源 的具体表现”。它更适合做情绪和能量复盘，不适合做心理诊断。,星星 + 星币五 在决策里适合拆解“疗愈、希望与长期恢复 落到 现实与资源 的具体表现”背后的收益、代价和验证动作，不替用户直接选择。,困难存在，但可以寻找支持和恢复路径。,不要说用户注定贫困。,高频感情问题 | 事业卡点 | 自我状态复盘 | 决策取舍,星币五和星星放在一起，重点不是把事情说死，而是看见“匮乏中的希望”。困难存在，但可以寻找支持和恢复路径。
curated_queen_of_cups__king_of_swords,queen_of_cups | king_of_swords,圣杯皇后 | 宝剑国王,感受与理性拉扯,圣杯皇后 + 宝剑国王 在感情里可以读成“情绪与关系中的内在成熟/接纳 与 思考与冲突中的外在掌控/领导 的交叉影响”。重点看互动是否稳定、边界是否清楚、情绪是否被放大；不能直接替对方读心。,圣杯皇后 + 宝剑国王 在事业里可以读成“情绪与关系中的内在成熟/接纳 与 思考与冲突中的外在掌控/领导 的交叉影响”。重点看资源、节奏、协作和现实条件，而不是简单判断成败。,圣杯皇后 + 宝剑国王 在自我状态里像是在提示“情绪与关系中的内在成熟/接纳 与 思考与冲突中的外在掌控/领导 的交叉影响”。它更适合做情绪和能量复盘，不适合做心理诊断。,圣杯皇后 + 宝剑国王 在决策里适合拆解“情绪与关系中的内在成熟/接纳 与 思考与冲突中的外在掌控/领导 的交叉影响”背后的收益、代价和验证动作，不替用户直接选择。,需要同时尊重情绪和边界。,不要压制任何一边。,高频感情问题 | 事业卡点 | 自我状态复盘 | 决策取舍,圣杯皇后和宝剑国王放在一起，重点不是把事情说死，而是看见“感受与理性拉扯”。需要同时尊重情绪和边界。
